,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
0,PAXG-USD,XAUt-USD,0.9980482891844813,0.9767533471736958,0.9727005236422187,0.0003427575548619273,0.00038042935797552243,0.00036159345641872487,0.0003427575548619273,0.00038042935797552243
1,FORM-USD,APT-USD,0.9753589393457067,1.4970669065282261e-12,1.8665378638223977e-05,,,,,
2,SAND-USD,GALA-USD,0.9680893152887716,0.1746496953804127,0.07837732770924742,8.032040296214901e-11,4.3367153079103167e-13,4.037703724647002e-11,4.3367153079103167e-13,8.032040296214901e-11
3,ALGO-USD,DOT-USD,0.9459230166071196,0.5909708660828789,0.33815806469182674,0.0006342511939944446,0.0001875694198603285,0.00041091030692738656,0.0001875694198603285,0.0006342511939944446
4,CAKE-USD,VET-USD,0.9427522682622563,0.24406290499693856,0.05986604405795696,0.08824697388515484,0.05259286701658791,0.07041992045087138,0.05259286701658791,0.08824697388515484
5,FIL-USD,TON-USD,0.9410822218922317,0.18386078825837576,0.20338224358772516,0.008652422324916477,0.007374468679230284,0.00801344550207338,0.007374468679230284,0.008652422324916477
6,BTT-USD,TON-USD,0.9390065175261704,0.22181559523856026,0.20338224358772516,0.006218072239386567,0.005906253703869486,0.006062162971628027,0.005906253703869486,0.006218072239386567
7,SAND-USD,CRO-USD,0.9315107268668845,0.16844201726953445,0.14825070289181175,0.12913402948156522,0.11021456543652158,0.1196742974590434,0.11021456543652158,0.12913402948156522
8,THETA-USD,VET-USD,0.9313058841268493,0.1492778838825759,0.043741794496021606,,,,,
9,BTT-USD,FIL-USD,0.930899949009531,0.17488704924471832,0.12961118856112314,0.3481529252748542,0.3205281850943903,0.33434055518462225,0.3205281850943903,0.3481529252748542
10,NEO-USD,CAKE-USD,0.9282157596147609,0.11594083214253958,0.24406290499693856,0.3244019698630842,0.335916157191017,0.3301590635270506,0.3244019698630842,0.335916157191017
11,STX-USD,ALGO-USD,0.9276197766828783,0.5097074929040193,0.5047636489909278,5.9546217857379566e-05,8.817696165772232e-05,7.386158975755094e-05,5.9546217857379566e-05,8.817696165772232e-05
12,NEO-USD,FIL-USD,0.9275231493095095,0.06934641433337502,0.12961118856112314,2.377859412817351e-09,7.578423199857172e-09,4.978141306337261e-09,2.377859412817351e-09,7.578423199857172e-09
