ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max,regress1on2,coint_factor
SAND-USD,GALA-USD,0.9680893152887716,0.1746496953804127,0.07837732770924742,8.032040296214901e-11,4.3367153079103167e-13,4.037703724647002e-11,4.3367153079103167e-13,8.032040296214901e-11,False,
NEO-USD,THETA-USD,0.9046533951781853,0.06934641433337502,0.1492778838825759,5.511594520184777e-11,2.9335458653143994e-10,1.7423526586664386e-10,5.511594520184777e-11,2.9335458653143994e-10,True,6.937420759185082
NEO-USD,FIL-USD,0.9275231493095095,0.06934641433337502,0.12961118856112314,2.377859412817351e-09,7.578423199857172e-09,4.978141306337261e-09,2.377859412817351e-09,7.578423199857172e-09,True,0.636338347949702
NEO-USD,TON-USD,0.8860292480617834,0.11080431145848235,0.20338224358772516,1.4038049824951197e-08,1.9914926222516485e-08,1.697648802373384e-08,1.4038049824951197e-08,1.9914926222516485e-08,True,5.548228041771898
CAKE-USD,THETA-USD,0.9054086650665002,0.24406290499693856,0.169921144011617,8.309885368746964e-07,4.822826952358525e-07,6.566356160552744e-07,4.822826952358525e-07,8.309885368746964e-07,False,0.38010242336413674
BTT-USD,CAKE-USD,0.9231611545588527,0.1720615160038702,0.24406290499693856,3.8070310587194888e-06,3.349571162662409e-06,3.5783011106909486e-06,3.349571162662409e-06,3.8070310587194888e-06,False,4325.798735815503
CAKE-USD,TON-USD,0.8813025887877625,0.24406290499693856,0.3333885426798263,3.4307289054655524e-06,7.796145223138786e-06,5.61343706430217e-06,3.4307289054655524e-06,7.796145223138786e-06,True,1.903488059332445
THETA-USD,LTC-USD,0.8929298921620324,0.1492778838825759,0.2103245670274247,1.9999276304681266e-05,2.685415666404316e-05,2.3426716484362212e-05,1.9999276304681266e-05,2.685415666404316e-05,True,0.028245073568378777
CRO-USD,NEAR-USD,0.8253127786397197,0.16007781645305846,0.06029034976459499,2.767173686688519e-05,5.220832241222518e-06,1.6446284554053854e-05,5.220832241222518e-06,2.767173686688519e-05,False,27.612576077827917
NEO-USD,BTT-USD,0.901516729664046,0.06934641433337502,0.17488704924471832,1.356660394570925e-05,2.8348460736691844e-05,2.0957532341200546e-05,1.356660394570925e-05,2.8348460736691844e-05,True,12152.468741458046
THETA-USD,TON-USD,0.9024392069841642,0.1663691161160754,0.20338224358772516,4.896581423929481e-05,1.3493412623153635e-05,3.122961343122422e-05,1.3493412623153635e-05,4.896581423929481e-05,False,1.1807385995712505
BTT-USD,DOT-USD,0.8603709407714641,0.22108490571695216,0.33815806469182674,8.278857787112231e-06,5.355956684224603e-05,3.091921231467913e-05,8.278857787112231e-06,5.355956684224603e-05,True,0.00010587088720617117
KCS-USD,NEAR-USD,0.8240768346120854,0.12302849636159896,0.06029034976459499,7.961703080898117e-05,1.3359433700836839e-05,4.648823225490901e-05,1.3359433700836839e-05,7.961703080898117e-05,False,0.4970606920591774
NEAR-USD,AVAX-USD,0.8866505965229092,0.06029034976459499,0.13718787407726485,8.25098963644283e-05,6.166420224226708e-05,7.208704930334769e-05,6.166420224226708e-05,8.25098963644283e-05,False,6.5647767050452295
STX-USD,ALGO-USD,0.9276197766828783,0.5097074929040193,0.5047636489909278,5.9546217857379566e-05,8.817696165772232e-05,7.386158975755094e-05,5.9546217857379566e-05,8.817696165772232e-05,True,1.096973510910065
